Material,E_slab,E_H2_g,E_H2O_g,E_O2_g,E_slab_OOH,E_slab_O,E_slab_OH,E_ads_OOH,E_ads_O,E_ads_OH,dG1,dG2,dG3,dG4,dG_eq_1,dG_eq_2,dG_eq_3,dG_eq_4,U_L,Overpotential,Limiting potential
Au111,-128.312399505907,-6.774767560505041,-14.196630289850354,-9.923725458690624,-142.42349793857414,-133.09845554465568,-138.02380301113155,-0.5643846714263816,-3.239145909321678,-1.27905555395796,-0.23948919372400235,-1.9377041156793755,-1.2014636862233496,-1.5413430043732883,0.9905108062759976,-0.7077041156793756,0.028536313776650335,-0.3113430043732883,0.23948919372400235,0.9905108062759976,0.23948919372400235
Ni111,-198.5123396202446,-6.774767560505041,-14.196630289850354,-9.923725458690624,-216.45261924341077,-205.85991829766235,-209.81668796766508,-4.393565861925396,-5.800668547990739,-2.8720003961538794,-4.068670384223016,-0.6700455638494223,-0.23288588975020819,0.051601837822630614,-2.838670384223016,0.5599544361505777,0.9971141102497918,1.2816018378226306,-0.051601837822630614,1.2816018378226306,-0.051601837822630614
Pt111,-229.95499181213208,-6.774767560505041,-14.196630289850354,-9.923725458690624,-244.79946857986295,-235.66019025452005,-240.2639148718071,-1.2977630064901007,-4.158288312960963,-1.8765751084084172,-0.9728675287877214,-2.123468184254941,-0.8798408370345223,-0.9438234499228311,0.25713247121227856,-0.8934681842549411,0.35015916296547767,0.2861765500771689,0.8798408370345223,0.35015916296547767,0.8798408370345223
