Material,E_slab,E_H2_g,E_H2O_g,E_O2_g,E_slab_OOH,E_slab_O,E_slab_OH,E_ads_OOH,E_ads_O,E_ads_OH,dG1,dG2,dG3,dG4,dG_eq_1,dG_eq_2,dG_eq_3,dG_eq_4,U_L,Overpotential,Limiting potential
Pt111,-325.87941395,-6.99812568,-14.21139205,-9.506532739999999,-340.47421570000006,-331.52519947999997,-336.11591197999996,-1.3997907800000462,-4.06960093999993,-2.482485699999984,-1.0287061700000115,-2.2168129899998608,-0.7551496599999727,-0.9193311800000572,0.20129382999998846,-0.9868129899998608,0.47485034000002724,0.3106688199999428,0.7551496599999727,0.47485034000002724,0.7551496599999727
Pd111,-269.50538889999996,-6.99812568,-14.21139205,-9.506532739999999,-284.15933134,-275.52011687000004,-279.98579781,-1.4589314700000386,-4.4385433800000555,-2.7263965800000847,-1.087846860000004,-2.5266147399999945,-0.6301180999999483,-0.6754202999998995,0.14215313999999601,-1.2966147399999945,0.5998819000000517,0.5545797000001005,0.6301180999999483,0.5998819000000517,0.6301180999999483
Ir111,-412.59660709,-6.99812568,-14.21139205,-9.506532739999999,-429.77855112000003,-419.14295033999997,-423.29263759,-3.9869330600000126,-4.970158659999925,-2.94201817000004,-3.6158484499999775,-0.5302284299998892,-0.31412441000003444,-0.4597987099999443,-2.3858484499999775,0.6997715700001108,0.9158755899999655,0.7702012900000557,0.31412441000003444,0.9158755899999655,0.31412441000003444
Rh111,-336.05428667,-6.99812568,-14.21139205,-9.506532739999999,-353.90584349000005,-342.94751752,-347.05652996000003,-4.656545850000043,-5.317046259999984,-3.2482309600000576,-4.285461240000008,-0.2075032399999177,-0.2734495999999931,-0.15358591999992655,-3.055461240000008,1.0224967600000823,0.9565504000000069,1.0764140800000734,0.15358591999992655,1.0764140800000734,0.15358591999992655
Au111,-204.34174180000002,-6.99812568,-14.21139205,-9.506532739999999,-218.35948598000002,-209.08182773,-214.30644867,-0.8227332099999956,-3.163901339999967,-2.2106945399999915,-0.4516485999999892,-1.888170959999977,-1.389058100000029,-1.1911223400000206,0.7783514000000108,-0.6581709599999771,-0.15905810000002907,0.038877659999979386,0.4516485999999892,0.7783514000000108,0.4516485999999892
