Material,E_slab,E_H2_g,E_H2O_g,E_O2_g,E_slab_OOH,E_slab_O,E_slab_OH,E_ads_OOH,E_ads_O,E_ads_OH,dG1,dG2,dG3,dG4,dG_eq_1,dG_eq_2,dG_eq_3,dG_eq_4,U_L,Overpotential,Limiting potential
Ag111,-107.77136313094856,-6.774767560505041,-14.196630289850354,-9.923725458690624,-122.55847198534435,-112.97568876046944,-118.3059897844165,-1.2403950931550298,-3.65741550009389,-2.102278702201332,-0.9154996154526506,-1.679963284722925,-1.6064172436945374,-0.7181198561298885,0.3145003845473494,-0.44996328472292524,-0.37641724369453744,0.5118801438701115,0.7181198561298885,0.5118801438701115,0.7181198561298885
Au111,-128.312399505907,-6.774767560505041,-14.196630289850354,-9.923725458690624,-142.42349793857414,-133.09845554465568,-138.02380301113155,-0.5643846714263816,-3.239145909321678,-1.27905555395796,-0.23948919372400235,-1.9377041156793755,-1.2014636862233496,-1.5413430043732883,0.9905108062759976,-0.7077041156793756,0.028536313776650335,-0.3113430043732883,0.23948919372400235,0.9905108062759976,0.23948919372400235
Cu111,-142.85779715449738,-6.774767560505041,-14.196630289850354,-9.923725458690624,-158.07332604586975,-149.35794336664537,-153.8307795299848,-1.6688151301316054,-4.953236082720991,-2.5406344242208263,-1.3439196524292258,-2.5473638303734654,-0.7489523830869023,-0.27976413411042245,-0.11391965242922586,-1.3173638303734654,0.4810476169130977,0.9502358658895775,0.27976413411042245,0.9502358658895775,0.27976413411042245
Ir111,-321.06932853822906,-6.774767560505041,-14.196630289850354,-9.923725458690624,-337.8573987731822,-327.70076386549437,-331.91499971772055,-3.241356473712358,-5.084525197838332,-2.413323228224897,-2.91646099600995,-1.106111601909996,-0.49035207197363295,-0.40707533010632346,-1.68646099600995,0.12388839809000407,0.739647928026367,0.8229246698936765,0.40707533010632346,0.8229246698936765,0.40707533010632346
Ni111,-198.5123396202446,-6.774767560505041,-14.196630289850354,-9.923725458690624,-216.45261924341077,-205.85991829766235,-209.81668796766508,-4.393565861925396,-5.800668547990739,-2.8720003961538794,-4.068670384223016,-0.6700455638494223,-0.23288588975020819,0.051601837822630614,-2.838670384223016,0.5599544361505777,0.9971141102497918,1.2816018378226306,-0.051601837822630614,1.2816018378226306,-0.051601837822630614
Pd111,-196.9211906698391,-6.774767560505041,-14.196630289850354,-9.923725458690624,-211.64472455926884,-202.8449992238002,-207.31354667934963,-1.1768201281889787,-4.37689842453409,-1.9600080582439432,-0.8519246504865995,-2.4630211741291905,-0.7446636752969202,-0.8603905000873056,0.3780753495134005,-1.2330211741291905,0.48533632470307975,0.36960949991269443,0.7446636752969202,0.48533632470307975,0.7446636752969202
Pt111,-229.95499181213208,-6.774767560505041,-14.196630289850354,-9.923725458690624,-244.79946857986295,-235.66019025452005,-240.2639148718071,-1.2977630064901007,-4.158288312960963,-1.8765751084084172,-0.9728675287877214,-2.123468184254941,-0.8798408370345223,-0.9438234499228311,0.25713247121227856,-0.8934681842549411,0.35015916296547767,0.2861765500771689,0.8798408370345223,0.35015916296547767,0.8798408370345223
Rh111,-264.8292612881231,-6.774767560505041,-14.196630289850354,-9.923725458690624,-281.82477295368096,-271.8262273123774,-275.644056602297,-3.4487979043170753,-5.450055894827301,-2.3824473629072713,-3.1239024266146673,-1.2642008682942478,-0.09394550966703807,-0.437951195423949,-1.8939024266146673,-0.034200868294247844,1.136054490332962,0.792048804576051,0.09394550966703807,1.136054490332962,0.09394550966703807
